IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.24.205.247,4,4,0.00,235.03,0.00
104.25.15.96,4,4,0.00,235.08,0.00
104.25.158.173,4,4,0.00,235.98,0.00
104.22.26.165,4,4,0.00,236.02,0.00
104.25.96.2,4,4,0.00,236.27,0.00
104.25.135.135,4,4,0.00,236.39,0.00
104.25.23.98,4,4,0.00,236.89,0.00
104.20.119.1,4,4,0.00,237.06,0.00
104.19.58.169,4,4,0.00,237.21,0.00
104.23.135.174,4,4,0.00,237.88,0.00
104.23.139.86,4,4,0.00,237.95,0.00
104.24.93.174,4,4,0.00,238.92,0.00
104.22.23.217,4,4,0.00,240.36,0.00
104.23.140.24,4,4,0.00,241.27,0.00
104.24.75.210,4,4,0.00,242.03,0.00
104.17.86.254,4,4,0.00,242.27,0.00
104.24.71.207,4,4,0.00,242.36,0.00
104.19.66.33,4,4,0.00,243.08,0.00
104.22.16.125,4,4,0.00,243.11,0.00
104.19.16.29,4,4,0.00,243.30,0.00
104.18.176.241,4,4,0.00,243.74,0.00
104.25.100.101,4,4,0.00,250.07,0.00
104.19.117.28,4,4,0.00,250.29,0.00
104.31.0.9,4,4,0.00,251.36,0.00
104.24.26.108,4,4,0.00,251.76,0.00
104.17.149.240,4,4,0.00,252.33,0.00
104.27.13.141,4,4,0.00,252.70,0.00
104.25.110.148,4,4,0.00,252.89,0.00
104.19.77.82,4,4,0.00,253.56,0.00
104.17.102.62,4,4,0.00,253.67,0.00
104.19.109.151,4,4,0.00,257.05,0.00
104.19.61.100,4,4,0.00,257.37,0.00
104.17.213.1,4,4,0.00,257.39,0.00
104.16.66.4,4,4,0.00,257.48,0.00
104.19.93.118,4,4,0.00,258.35,0.00
104.17.237.176,4,4,0.00,263.26,0.00
104.18.94.116,4,4,0.00,263.57,0.00
104.17.70.6,4,4,0.00,266.00,0.00
104.17.31.39,4,4,0.00,266.50,0.00
104.19.21.72,4,4,0.00,267.09,0.00
104.18.175.32,4,4,0.00,267.40,0.00
104.16.205.40,4,4,0.00,271.89,0.00
104.19.13.204,4,4,0.00,272.18,0.00
104.17.255.109,4,4,0.00,273.45,0.00
104.16.243.45,4,4,0.00,274.79,0.00
104.17.208.67,4,4,0.00,276.07,0.00
104.18.161.50,4,4,0.00,277.38,0.00
104.17.46.13,4,4,0.00,278.71,0.00
104.17.77.119,4,4,0.00,278.84,0.00
104.16.43.205,4,4,0.00,279.22,0.00
104.17.183.214,4,4,0.00,282.41,0.00
104.18.189.7,4,4,0.00,283.59,0.00
104.16.24.193,4,4,0.00,283.66,0.00
104.16.33.120,4,4,0.00,287.35,0.00
104.16.234.64,4,4,0.00,287.97,0.00
104.18.86.128,4,4,0.00,288.58,0.00
104.18.87.225,4,4,0.00,290.79,0.00
104.19.239.74,4,4,0.00,292.42,0.00
104.17.217.197,4,4,0.00,293.11,0.00
104.17.192.250,4,4,0.00,294.68,0.00
104.18.9.232,4,4,0.00,296.05,0.00
104.16.144.111,4,4,0.00,296.63,0.00
104.16.210.81,4,4,0.00,297.68,0.00
104.16.150.236,4,4,0.00,298.39,0.00
104.17.63.101,4,4,0.00,300.61,0.00
104.16.104.163,4,4,0.00,302.37,0.00
104.16.93.180,4,4,0.00,302.62,0.00
104.17.186.251,4,4,0.00,303.80,0.00
104.17.243.113,4,4,0.00,304.63,0.00
104.17.241.175,4,4,0.00,304.77,0.00
104.16.97.9,4,4,0.00,306.19,0.00
104.16.128.7,4,4,0.00,306.26,0.00
104.18.182.203,4,4,0.00,307.39,0.00
104.16.140.194,4,4,0.00,307.47,0.00
104.18.230.247,4,4,0.00,307.74,0.00
104.16.213.94,4,4,0.00,308.05,0.00
104.17.67.156,4,4,0.00,308.81,0.00
104.17.66.145,4,4,0.00,309.09,0.00
104.17.182.253,4,4,0.00,309.61,0.00
104.16.147.78,4,4,0.00,309.98,0.00
104.17.85.146,4,4,0.00,310.07,0.00
104.19.55.228,4,4,0.00,311.36,0.00
104.17.59.93,4,4,0.00,312.83,0.00
104.19.185.184,4,4,0.00,312.90,0.00
104.18.156.236,4,4,0.00,313.14,0.00
104.17.25.253,4,4,0.00,314.39,0.00
104.17.197.236,4,4,0.00,314.89,0.00
104.16.96.45,4,4,0.00,315.66,0.00
104.18.80.129,4,4,0.00,315.98,0.00
104.16.211.93,4,4,0.00,316.42,0.00
104.18.245.216,4,4,0.00,316.66,0.00
104.16.169.107,4,4,0.00,317.00,0.00
104.17.4.61,4,4,0.00,317.80,0.00
104.16.201.155,4,4,0.00,318.46,0.00
104.18.221.126,4,4,0.00,319.36,0.00
104.16.252.110,4,4,0.00,321.51,0.00
104.19.226.159,4,4,0.00,322.36,0.00
104.16.164.243,4,4,0.00,322.78,0.00
104.18.169.213,4,4,0.00,322.79,0.00
104.17.195.242,4,4,0.00,323.37,0.00
104.31.16.52,4,4,0.00,323.95,0.00
104.19.237.34,4,4,0.00,323.95,0.00
104.18.165.11,4,4,0.00,324.30,0.00
104.16.48.82,4,4,0.00,324.39,0.00
104.17.74.170,4,4,0.00,325.29,0.00
104.18.154.0,4,4,0.00,325.65,0.00
104.17.164.18,4,4,0.00,326.09,0.00
104.16.218.249,4,4,0.00,326.13,0.00
104.16.250.10,4,4,0.00,326.27,0.00
104.17.226.4,4,4,0.00,326.49,0.00
104.17.57.100,4,4,0.00,326.90,0.00
104.17.222.130,4,4,0.00,326.98,0.00
104.16.138.160,4,4,0.00,327.35,0.00
104.17.83.139,4,4,0.00,328.01,0.00
104.16.102.234,4,4,0.00,328.60,0.00
104.16.94.58,4,4,0.00,329.67,0.00
104.19.187.71,4,4,0.00,330.10,0.00
104.17.49.243,4,4,0.00,330.10,0.00
104.19.215.164,4,4,0.00,330.82,0.00
104.19.4.10,4,4,0.00,330.99,0.00
104.19.227.79,4,4,0.00,331.14,0.00
104.17.196.4,4,4,0.00,331.41,0.00
104.17.24.82,4,4,0.00,332.16,0.00
104.18.39.108,4,4,0.00,332.81,0.00
104.16.80.99,4,4,0.00,333.34,0.00
104.18.216.93,4,4,0.00,333.52,0.00
104.16.246.4,4,4,0.00,334.36,0.00
104.18.163.1,4,4,0.00,334.46,0.00
104.17.203.181,4,4,0.00,334.66,0.00
104.19.231.181,4,4,0.00,335.46,0.00
104.16.78.98,4,4,0.00,336.38,0.00
104.17.29.8,4,4,0.00,336.83,0.00
104.16.167.167,4,4,0.00,336.87,0.00
104.18.74.107,4,4,0.00,336.87,0.00
104.19.25.109,4,4,0.00,337.21,0.00
104.18.11.183,4,4,0.00,337.68,0.00
104.18.132.19,4,4,0.00,337.74,0.00
104.18.166.122,4,4,0.00,340.10,0.00
104.16.241.184,4,4,0.00,341.35,0.00
104.16.223.99,4,4,0.00,341.90,0.00
104.16.9.75,4,4,0.00,341.94,0.00
104.17.204.1,4,4,0.00,342.86,0.00
104.16.110.62,4,4,0.00,343.58,0.00
104.17.94.88,4,4,0.00,343.73,0.00
104.16.11.153,4,4,0.00,344.22,0.00
104.18.2.196,4,4,0.00,344.44,0.00
104.17.175.0,4,4,0.00,344.50,0.00
104.19.188.42,4,4,0.00,345.12,0.00
104.18.229.52,4,4,0.00,345.54,0.00
104.16.129.89,4,4,0.00,346.39,0.00
104.17.5.81,4,4,0.00,346.92,0.00
104.18.91.189,4,4,0.00,347.09,0.00
104.16.219.159,4,4,0.00,347.29,0.00
104.16.8.209,4,4,0.00,348.70,0.00
104.17.103.145,4,4,0.00,348.80,0.00
104.18.7.222,4,4,0.00,349.06,0.00
104.17.181.219,4,4,0.00,349.51,0.00
104.17.126.123,4,4,0.00,350.23,0.00
104.19.36.104,4,4,0.00,350.74,0.00
104.16.202.202,4,4,0.00,351.56,0.00
104.16.185.161,4,4,0.00,352.00,0.00
104.18.160.136,4,4,0.00,352.20,0.00
104.19.219.73,4,4,0.00,352.23,0.00
104.18.73.219,4,4,0.00,352.57,0.00
104.17.9.229,4,4,0.00,352.74,0.00
104.18.67.51,4,4,0.00,352.93,0.00
104.19.65.64,4,4,0.00,353.38,0.00
104.17.193.205,4,4,0.00,353.42,0.00
104.19.39.230,4,4,0.00,353.46,0.00
104.17.7.237,4,4,0.00,353.68,0.00
104.17.194.100,4,4,0.00,353.93,0.00
104.16.82.254,4,4,0.00,354.02,0.00
104.16.235.164,4,4,0.00,354.09,0.00
104.17.10.39,4,4,0.00,354.23,0.00
104.18.153.243,4,4,0.00,355.43,0.00
104.16.214.230,4,4,0.00,355.43,0.00
104.16.55.96,4,4,0.00,355.69,0.00
104.18.242.154,4,4,0.00,355.84,0.00
104.18.72.214,4,4,0.00,355.87,0.00
104.16.145.129,4,4,0.00,356.34,0.00
104.19.234.147,4,4,0.00,357.02,0.00
104.16.25.169,4,4,0.00,357.79,0.00
104.19.73.51,4,4,0.00,357.88,0.00
104.18.81.60,4,4,0.00,357.98,0.00
104.19.108.123,4,4,0.00,361.22,0.00
104.16.2.218,4,4,0.00,361.67,0.00
104.19.5.205,4,4,0.00,361.71,0.00
104.18.95.198,4,4,0.00,362.85,0.00
104.18.5.230,4,4,0.00,363.00,0.00
104.17.53.178,4,4,0.00,363.69,0.00
104.16.221.160,4,4,0.00,365.09,0.00
104.16.254.153,4,4,0.00,365.42,0.00
104.18.70.60,4,4,0.00,365.59,0.00
104.19.68.81,4,4,0.00,366.03,0.00
104.19.149.28,4,4,0.00,366.64,0.00
104.18.46.87,4,4,0.00,366.69,0.00
104.16.132.31,4,4,0.00,367.32,0.00
104.19.145.133,4,4,0.00,367.34,0.00
104.16.37.220,4,4,0.00,368.05,0.00
104.19.236.17,4,4,0.00,368.20,0.00
104.18.243.222,4,4,0.00,368.29,0.00
104.17.54.9,4,4,0.00,368.50,0.00
104.18.254.183,4,4,0.00,369.07,0.00
104.16.212.156,4,4,0.00,369.19,0.00
104.19.182.88,4,4,0.00,369.42,0.00
104.17.202.101,4,4,0.00,369.98,0.00
104.16.222.143,4,4,0.00,372.53,0.00
104.19.114.233,4,4,0.00,372.94,0.00
